# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
 3493  17:33:48.81  -33:14:19.2  -1.484  0.059  15.370    54  0.568330  0.447  0.903  43.0
 3495  17:33:49.06  -35:37:04.6  -1.251  0.029  14.611   121  0.643790  0.209  0.943  74.7
 3496  17:33:49.17  -37:24:59.4  -1.387  0.036  15.666    68  0.493872  0.385  0.940  64.4
 3498  17:33:49.32  -27:57:06.2  -1.358  0.032  14.836    64  0.489532  0.347  0.904  91.8
 3502  17:33:49.78  -37:40:20.2  -1.338  0.038  14.646   112  0.545669  0.256  0.948  81.6
 3507  17:33:50.12  -34:27:29.9  -1.886  0.055  15.365    64  0.624709  0.360  0.934  58.2
 3508  17:33:50.14  -32:03:03.2  -1.751  0.034  14.928    62  0.616218  0.294  0.937  70.8
 3509  17:33:50.24  -32:19:26.3  -0.944  0.073  13.892    72  0.590413  0.165  0.943  100.5
 3511  17:33:50.53  -30:09:23.7  -1.476  0.040  14.892    69  0.559721  0.341  0.934  67.8
 3512  17:33:50.73  -35:31:36.2  -1.307  0.035  14.812    65  0.636627  0.249  0.912  80.3
 3513  17:33:50.95  -27:52:25.0  -1.422  0.032  14.171    69  0.673819  0.183  0.930  73.4
 3516  17:33:51.04  -33:18:39.1  -2.092  0.045  14.905    61  0.657382  0.364  0.931  73.2
 3517  17:33:51.13  -32:20:50.4  -1.635  0.037  15.699    71  0.565362  0.266  0.927  45.2
 3519  17:33:51.26  -29:32:02.6  -0.604  0.097  15.074    67  0.410748  0.486  0.928  91.3
 3523  17:33:51.59  -27:47:16.8  -1.779  0.039  14.538    69  0.652069  0.279  0.946  119.6
 3526  17:33:51.76  -31:51:45.3  -1.881  0.109  15.394    45  0.670907  0.197  0.900  45.6
 3528  17:33:52.41  -31:13:12.8  -1.397  0.075  15.360    67  0.496050  0.329  0.949  46.6
 3529  17:33:52.57  -34:52:23.2  -1.428  0.033  15.149    65  0.515188  0.284  0.934  58.0
 3536  17:33:53.78  -28:55:32.9  -1.283  0.042  14.933    69  0.559365  0.294  0.909  63.6
 3539  17:33:54.28  -34:48:09.2  -1.461  0.119  14.982    35  0.563460  0.281  0.881  81.0
 3552  17:33:56.89  -33:16:44.5  -1.443  0.068  15.169    71  0.459155  0.371  0.949  76.6
 3566  17:33:59.73  -31:31:31.2  -1.387  0.092  14.895    63  0.499203  0.323  0.875  66.3
 3567  17:34:00.14  -34:57:29.6  -1.575  0.026  14.871    64  0.576097  0.309  0.934  81.2
 3571  17:34:00.82  -31:04:49.5  -1.290  0.033  14.807    68  0.633398  0.240  0.911  47.9
 3576  17:34:01.34  -35:52:02.7  -0.543  0.192  13.612    68  0.422596  0.148  0.950  64.0
 3582  17:34:02.19  -34:37:44.2  -1.768  0.086  14.875    61  0.684281  0.231  0.914  67.8
 3583  17:34:02.30  -30:10:02.7  -1.430  0.048  14.320    67  0.568302  0.197  0.938  64.1
 3585  17:34:02.80  -26:50:30.6  -1.361  0.029  14.240    70  0.592771  0.241  0.919  129.6
 3587  17:34:03.07  -33:23:58.2  -1.352  0.210  14.805    72  0.444900  0.335  0.943  46.9
 3589  17:34:03.37  -31:22:53.9  -1.689  0.079  15.239    56  0.554850  0.257  0.945  47.1
 3594  17:34:04.37  -31:05:59.0  -1.643  0.042  14.917    67  0.566720  0.297  0.928  50.5
 3603  17:34:06.28  -31:42:35.2  -1.165  0.152  15.319    36  0.548836  0.340  0.912  67.7
 3608  17:34:06.90  -31:28:33.2  -1.303  0.082  15.489    67  0.487206  0.300  0.933  56.9
 3625  17:34:11.02  -33:10:32.3  -0.923  0.145  14.922    64  0.547031  0.362  0.884  82.2
 3626  17:34:11.04  -34:34:48.3  -1.259  0.041  14.862    63  0.511149  0.326  0.923  67.8
 3634  17:34:12.21  -31:55:25.6  -1.340  0.061  15.143    58  0.638027  0.178  0.925  48.5
 3644  17:34:13.45  -25:33:15.5  -1.541  0.045  15.084   139  0.694679  0.237  0.969  59.9
 3650  17:34:14.87  -34:32:03.0  -1.059  0.132  14.355    57  0.544842  0.197  0.937  52.2
 3654  17:34:16.23  -35:21:05.3  -1.556  0.040  15.079    64  0.589659  0.317  0.903  60.1
 3657  17:34:16.45  -32:54:58.5  -2.391  0.095  14.607    72  0.972058  0.307  0.942  78.3
 3659  17:34:17.05  -34:46:39.8  -0.427  0.039  15.194    52  0.425741  0.306  0.911  75.4
 3660  17:34:17.20  -35:28:54.5  -1.435  0.030  14.768    65  0.595783  0.309  0.929  96.5
 3667  17:34:17.92  -27:53:31.0  -1.267  0.012  14.349    69  0.608509  0.227  0.940  61.6
 3679  17:34:20.12  -32:29:39.1  -0.880  0.102  15.657    72  0.529821  0.287  0.929  42.7
 3686  17:34:21.20  -31:06:43.3  -0.721  0.091  14.991    41  0.476532  0.297  0.855  51.4
 3689  17:34:21.88  -25:47:39.4  -1.067  0.118  15.041    67  0.504736  0.266  0.939  60.2
 3693  17:34:23.08  -35:43:47.8  -1.322  0.017  14.892    65  0.585489  0.238  0.938  76.9
 3701  17:34:25.26  -31:14:22.3  -1.557  0.042  14.352    66  0.737363  0.199  0.941  83.3
 3704  17:34:25.68  -28:17:54.9  -1.365  0.054  14.483    69  0.561152  0.251  0.944  88.3
 3706  17:34:25.81  -31:03:17.6  -1.353  0.113  14.994    45  0.560602  0.245  0.893  37.5
 3712  17:34:26.59  -30:09:43.4  -1.745  0.051  14.632    59  0.717919  0.264  0.933  69.7
 3719  17:34:27.70  -25:43:32.6  -1.246  0.209  14.976    66  0.451835  0.208  0.894  54.3
 3720  17:34:27.71  -33:42:53.3  -1.507  0.106  15.107    64  0.551325  0.470  0.937  63.9
 3724  17:34:28.05  -28:17:51.2  -1.482  0.038  14.327    68  0.649661  0.240  0.931  124.6
 3730  17:34:29.63  -28:01:45.1  -1.236  0.028  14.321    68  0.597172  0.145  0.933  38.0
 3737  17:34:31.13  -34:16:15.1  -1.834  0.092  15.188    46  0.618444  0.292  0.911  42.2
 3742  17:34:31.58  -31:17:00.2  -0.754  0.197  14.757    60  0.528058  0.146  0.934  44.8
 3744  17:34:31.90  -29:37:44.6  -1.270  0.029  14.452    67  0.538293  0.284  0.933  118.2
 3745  17:34:31.93  -31:06:41.9  -0.337  0.079  15.690    62  0.307958  0.365  0.900  38.8
 3751  17:34:33.82  -35:10:58.0  -1.230  0.032  14.920    65  0.485908  0.366  0.941  97.1
 3758  17:34:34.28  -34:01:13.5  -1.384  0.037  15.472    62  0.474815  0.309  0.934  57.7
 3760  17:34:34.83  -27:48:54.9  -1.315  0.040  14.468    69  0.472396  0.304  0.941  68.5
 3765  17:34:35.45  -34:58:18.5  -0.791  0.146  15.401    52  0.457348  0.275  0.939  40.1
 3770  17:34:36.17  -25:36:39.2  -1.062  0.093  14.821   115  0.538944  0.310  0.963  86.7
 3772  17:34:36.30  -34:57:55.4  -1.294  0.039  14.899    63  0.606203  0.273  0.944  79.5
 3774  17:34:36.44  -37:25:35.7  -0.672  0.043  14.707   137  0.397492  0.334  0.969  82.2
 3776  17:34:36.82  -27:54:19.2  -1.950  0.059  14.927    65  0.762776  0.171  0.942  45.4
 3777  17:34:36.84  -27:57:01.7  -1.893  0.050  14.355    69  0.752205  0.304  0.949  91.3
 3779  17:34:37.03  -30:59:13.8  -1.275  0.033  14.861    67  0.571462  0.249  0.938  56.6
 3781  17:34:37.52  -32:57:21.8  -1.497  0.031  15.138    72  0.659501  0.250  0.913  43.8
 3783  17:34:37.78  -33:42:49.1  -1.863  0.145  14.421    37  0.694966  0.168  0.851  42.6
 3790  17:34:38.89  -35:02:45.2  -1.255  0.046  14.768    65  0.617775  0.234  0.931  80.4
 3792  17:34:39.09  -27:48:05.4  -1.391  0.075  14.135    69  0.549023  0.183  0.933  73.2
 3808  17:34:41.63  -32:51:06.4  -1.639  0.053  14.851    72  0.722640  0.255  0.933  62.5
 3814  17:34:42.87  -33:54:50.1  -1.838  0.055  14.908    58  0.654324  0.386  0.939  106.7
 3824  17:34:45.02  -31:48:33.5  -1.077  0.126  13.940    62  0.494212  0.195  0.909  70.9
 3832  17:34:46.05  -32:54:09.1  -1.771  0.114  12.615    72  0.782743  0.192  0.924  122.2
 3838  17:34:47.19  -27:51:30.7  -1.381  0.024  14.380    68  0.558418  0.322  0.956  150.3
 3844  17:34:48.34  -34:32:28.8  -1.519  0.090  15.011    65  0.548009  0.271  0.926  74.0
 3851  17:34:49.39  -35:21:37.5  -1.242  0.096  15.228   119  0.440435  0.317  0.960  64.3
 3852  17:34:49.56  -29:32:05.3  -2.066  0.130  13.796    67  0.895106  0.208  0.910  76.9
 3854  17:34:50.04  -30:08:52.6  -1.421  0.051  14.874    53  0.476950  0.348  0.924  83.8
 3867  17:34:52.53  -35:15:04.5  -1.543  0.067  15.338    65  0.571590  0.439  0.929  86.8
 3868  17:34:52.55  -32:42:28.1  -1.347  0.089  15.654    69  0.534714  0.326  0.929  45.5
 3871  17:34:53.40  -31:28:20.6  -1.429  0.036  15.604    62  0.555759  0.341  0.931  40.3
 3873  17:34:53.72  -31:50:41.5  -1.225  0.069  15.833    59  0.504452  0.418  0.920  45.4
 3876  17:34:54.13  -34:02:34.8  -0.850  0.103  15.433    38  0.418451  0.414  0.901  55.3
 3878  17:34:54.40  -27:48:20.8  -1.562  0.022  14.425    69  0.617232  0.293  0.940  137.6
 3879  17:34:55.41  -27:58:12.0  -1.348  0.038  14.446    59  0.581514  0.254  0.931  62.3
 3885  17:34:56.71  -32:51:16.6  -1.412  0.067  15.212    72  0.506779  0.304  0.947  45.2
 3888  17:34:56.86  -32:25:07.9  -0.649  0.063  15.554    72  0.503142  0.246  0.937  44.0
 3901  17:34:58.80  -33:34:21.6  -1.512  0.070  14.931    51  0.517884  0.250  0.921  44.8
 3929  17:35:03.38  -30:35:34.7  -1.631  0.062  15.586    60  0.534041  0.316  0.932  46.4
 3931  17:35:03.94  -35:41:09.3  -0.421  0.032  15.182    65  0.422618  0.297  0.936  75.5
 3933  17:35:04.45  -33:34:26.8  -1.472  0.032  15.287    44  0.556897  0.304  0.909  41.4
 3935  17:35:04.52  -34:07:40.8  -1.235  0.039  14.562    55  0.600045  0.236  0.928  67.3
 3936  17:35:04.74  -28:17:39.1  -1.309  0.049  13.984    69  0.596326  0.191  0.942  64.7
 3940  17:35:05.70  -32:00:39.8  -1.702  0.045  13.777    62  0.573650  0.237  0.921  63.8
 3952  17:35:07.96  -25:50:15.4  -1.423  0.025  14.366    70  0.552027  0.355  0.940  144.9
 3955  17:35:08.34  -31:21:42.2  -1.477  0.013  14.947   103  0.597686  0.362  0.940  104.2
 3956  17:35:08.50  -33:54:36.4  -1.558  0.045  14.963    61  0.523507  0.311  0.919  73.4
 3962  17:35:10.59  -35:14:46.4  -1.278  0.041  15.506    85  0.449343  0.292  0.949  57.1
 3965  17:35:11.34  -28:00:07.4  -1.437  0.025  14.722    52  0.521721  0.342  0.930  82.9
 3969  17:35:11.81  -28:46:40.1  -1.648  0.069  14.498    69  0.615947  0.348  0.921  82.6
 3987  17:35:13.91  -34:00:11.3  -1.234  0.091  15.028    61  0.530503  0.227  0.951  52.8
 3988  17:35:13.92  -26:15:32.4  -1.397  0.023  14.244    70  0.510231  0.290  0.957  99.6
 3991  17:35:14.51  -29:15:08.9  -1.627  0.024  14.080   130  0.603458  0.356  0.943  156.9
 3992  17:35:14.64  -29:22:34.3  -1.623  0.042  14.571    69  0.530291  0.260  0.918  56.0
 3993  17:35:15.12  -30:22:15.3  -1.328  0.068  14.827    69  0.544669  0.250  0.937  65.7
 3999  17:35:16.29  -32:10:50.0  -1.349  0.039  12.296    62  0.672063  0.252  0.939  182.6
 4010  17:35:17.45  -32:28:59.7  -1.335  0.046  15.244    65  0.549730  0.360  0.927  70.9
 4015  17:35:18.02  -33:01:05.3  -0.929  0.068  15.110    72  0.519036  0.236  0.926  53.5
 4034  17:35:22.20  -35:28:01.3  -0.691  0.066  15.739    65  0.444340  0.355  0.950  61.9
 4051  17:35:25.24  -27:48:04.2  -1.389  0.016  14.494    69  0.539468  0.350  0.914  93.4
 4054  17:35:26.40  -32:53:38.1  -1.605  0.063  15.206    72  0.551245  0.214  0.944  51.5
 4059  17:35:28.00  -33:49:28.3  -1.607  0.046  15.018    54  0.688688  0.258  0.910  60.4
 4060  17:35:28.21  -32:44:28.3  -1.277  0.033  15.322    48  0.509159  0.371  0.946  65.6
 4062  17:35:28.38  -31:29:57.8  -1.435  0.043  15.386    62  0.517358  0.197  0.892  35.6
 4067  17:35:29.31  -31:39:39.9  -1.804  0.024  15.365    56  0.620459  0.381  0.935  60.7
 4072  17:35:29.91  -30:09:22.9  -2.171  0.043  14.300    64  0.746955  0.331  0.914  92.5
 4081  17:35:31.08  -33:36:15.7  -1.319  0.049  14.617    54  0.659535  0.221  0.906  53.5
 4085  17:35:32.38  -27:50:45.3  -1.199  0.031  14.503    69  0.580160  0.294  0.924  81.1
 4093  17:35:33.47  -30:48:00.0  -1.380  0.029  14.943    60  0.511939  0.386  0.935  86.0
 4103  17:35:35.13  -32:12:46.0  -0.965  0.141  15.321    48  0.449339  0.197  0.863  40.5
 4114  17:35:36.92  -32:46:41.1  -1.365  0.049  15.310    48  0.493232  0.401  0.879  62.5
 4134  17:35:39.11  -27:51:01.6  -1.411  0.034  14.561    68  0.630276  0.247  0.932  81.0
 4164  17:35:43.04  -33:33:17.7  -1.397  0.034  15.109    64  0.530278  0.354  0.943  81.6
 4165  17:35:43.14  -25:36:50.5  -1.641  0.024  14.677    70  0.589830  0.296  0.941  93.0
 4180  17:35:45.93  -27:52:30.0  -1.350  0.074  14.558    66  0.450463  0.288  0.924  76.2
 4182  17:35:46.62  -33:01:23.4  -1.857  0.050  14.533    97  0.595568  0.353  0.945  58.9
 4193  17:35:49.25  -31:15:26.4  -1.324  0.029  15.336    62  0.507228  0.304  0.940  48.6
 4212  17:35:51.81  -31:36:19.4  -0.953  0.145  14.906    47  0.467375  0.137  0.910  45.2
 4218  17:35:52.97  -35:15:35.6  -1.277  0.044  15.135    65  0.491820  0.350  0.938  89.7
 4230  17:35:54.89  -31:46:15.3  -1.419  0.044  15.165    60  0.480648  0.322  0.926  71.0
 4231  17:35:54.95  -28:56:17.8  -2.036  0.034  13.940   134  0.725491  0.310  0.962  82.3
 4234  17:35:55.77  -36:10:22.3  -1.828  0.049  14.975    69  0.625286  0.333  0.947  118.5
 4235  17:35:55.91  -25:30:25.8  -0.928  0.119  16.032    59  0.389823  0.304  0.954  35.4
 4236  17:35:55.93  -29:32:44.9  -1.260  0.033  14.599    69  0.530726  0.373  0.944  83.9
 4242  17:35:56.76  -31:45:02.7  -1.318  0.049  15.465    52  0.564734  0.257  0.939  56.5
 4245  17:35:57.10  -33:06:46.6  -1.479  0.036  12.791    72  0.694904  0.332  0.939  144.6
 4247  17:35:57.38  -30:10:33.1  -1.305  0.070  14.839    69  0.512626  0.290  0.942  54.0
 4249  17:35:57.77  -31:44:53.9  -1.475  0.033  15.802    58  0.481591  0.496  0.923  57.4
 4250  17:35:57.90  -30:22:34.8  -1.322  0.051  14.897    62  0.493631  0.303  0.934  76.1
 4253  17:35:58.85  -27:58:34.0  -1.828  0.058  14.279    69  0.588562  0.190  0.932  59.8
 4263  17:36:00.37  -30:40:14.3  -1.353  0.017  15.321    65  0.540671  0.396  0.936  56.0
 4264  17:36:00.39  -31:18:27.7  -1.270  0.042  14.327    61  0.653018  0.172  0.919  65.7
 4275  17:36:02.06  -25:06:39.3  -1.287  0.021  14.561    62  0.587565  0.211  0.916  71.5
 4286  17:36:03.01  -27:56:49.2  -1.391  0.037  14.193    69  0.446105  0.261  0.931  101.3
 4297  17:36:04.23  -34:55:15.0  -1.119  0.044  15.015   100  0.497490  0.358  0.936  87.2
 4300  17:36:05.08  -35:11:15.1  -1.426  0.029  15.149    65  0.526698  0.388  0.919  84.9
 4303  17:36:05.39  -24:59:52.7  -0.647  0.233  14.355    58  0.405559  0.187  0.928  64.2
 4304  17:36:05.66  -32:05:33.6  -1.328  0.100  15.414    62  0.506269  0.258  0.911  45.9
 4306  17:36:05.90  -33:56:37.7  -1.489  0.041  14.886    61  0.658477  0.206  0.926  59.7
 4309  17:36:06.01  -33:03:35.9  -1.459  0.059  14.532   132  0.558156  0.240  0.954  96.6
 4311  17:36:06.35  -32:12:57.4  -1.397  0.041  15.899    50  0.541709  0.347  0.937  43.8
 4319  17:36:07.33  -30:37:58.5  -2.329  0.087  14.721    42  0.847525  0.322  0.853  112.4
 4322  17:36:07.78  -36:00:52.7  -0.620  0.119  15.051   128  0.466901  0.274  0.960  58.9
 4325  17:36:08.44  -27:55:02.9  -1.166  0.094  14.656    45  0.543104  0.187  0.893  45.9
 4331  17:36:09.08  -32:10:12.2  -1.773  0.037  15.660    56  0.664869  0.342  0.929  52.2
 4332  17:36:09.11  -32:31:03.9  -1.651  0.033  14.394    62  0.770059  0.240  0.940  89.6
 4350  17:36:12.56  -30:41:49.7  -1.301  0.043  15.112    49  0.518085  0.285  0.935  87.5
 4352  17:36:13.14  -32:50:53.7  -1.869  0.029  15.088   129  0.712907  0.284  0.937  67.3
 4353  17:36:13.26  -31:33:12.0  -1.321  0.018  15.601    61  0.582034  0.290  0.929  39.0
 4357  17:36:14.07  -33:00:45.3  -1.323  0.060  15.602   126  0.497684  0.378  0.948  58.8
 4360  17:36:14.79  -32:41:10.1  -1.531  0.031  15.196    71  0.660138  0.287  0.928  50.0
 4376  17:36:17.09  -32:43:58.4  -2.317  0.091  14.457    70  0.783397  0.304  0.925  61.8
 4380  17:36:18.09  -30:30:55.6  -1.541  0.037  14.898    57  0.589741  0.285  0.898  71.5
 4386  17:36:18.98  -32:45:42.0  -1.505  0.026  14.749    66  0.589168  0.252  0.934  76.1
 4391  17:36:20.15  -31:23:44.6  -1.637  0.067  15.213    52  0.535761  0.261  0.914  55.4
 4399  17:36:21.54  -30:42:58.8  -1.300  0.049  14.582    48  0.570843  0.305  0.916  74.6
 4401  17:36:21.90  -27:47:58.5  -0.917  0.068  14.343    69  0.540491  0.204  0.932  91.4
 4410  17:36:23.21  -34:49:31.6  -1.314  0.065  15.195   130  0.478215  0.448  0.955  74.1
 4411  17:36:23.43  -33:40:32.3  -1.115  0.073  15.194    64  0.407874  0.453  0.932  57.9
 4414  17:36:23.83  -30:08:43.0  -1.233  0.049  14.320    57  0.618874  0.185  0.906  61.1
 4415  17:36:24.37  -31:44:29.1  -1.878  0.093  14.455    62  0.590913  0.299  0.919  67.6
 4417  17:36:24.89  -29:59:20.1  -1.237  0.052  14.922    63  0.516345  0.344  0.931  94.8
 4419  17:36:24.95  -27:49:28.8  -1.267  0.030  14.733    69  0.569417  0.292  0.944  87.4
 4422  17:36:25.96  -33:27:05.7  -1.136  0.062  15.105    46  0.534299  0.353  0.915  56.2
 4425  17:36:26.42  -27:59:16.8  -1.197  0.122  14.722    68  0.508874  0.246  0.945  57.1
 4435  17:36:27.77  -34:56:38.8  -1.196  0.027  14.700   123  0.547397  0.321  0.969  97.7
 4436  17:36:28.99  -26:14:55.8  -2.077  0.040  14.708    70  0.683386  0.271  0.911  79.8
 4442  17:36:29.98  -30:25:34.1  -1.655  0.090  14.593    55  0.696175  0.184  0.921  38.3
 4444  17:36:30.99  -27:57:53.7  -1.670  0.053  14.426    52  0.646610  0.301  0.932  83.3
 4447  17:36:31.24  -36:34:49.6  -1.230  0.020  14.356    69  0.554839  0.286  0.953  167.0
 4449  17:36:31.47  -26:28:13.9  -1.608  0.188  15.305    70  0.619309  0.236  0.936  44.3
 4461  17:36:33.46  -27:51:15.9  -1.452  0.044  14.804    68  0.516935  0.276  0.924  80.7
 4468  17:36:34.17  -32:59:55.4  -1.637  0.077  14.142    65  0.551620  0.135  0.938  50.5
 4472  17:36:34.89  -35:27:54.4  -1.354  0.060  15.214    65  0.660297  0.174  0.873  48.1
 4475  17:36:35.32  -29:06:40.0  -1.570  0.116  13.728    68  0.484628  0.124  0.889  72.8
 4476  17:36:35.42  -27:45:33.8  -1.277  0.043  14.702    68  0.623316  0.225  0.945  77.3
 4480  17:36:35.77  -28:04:46.2  -1.370  0.021  14.703    69  0.531241  0.355  0.939  100.3
 4483  17:36:36.20  -29:05:35.1  -1.424  0.039  14.260    68  0.690641  0.178  0.930  55.9
 4485  17:36:36.67  -29:07:48.7  -1.350  0.033  14.566    65  0.538391  0.327  0.940  93.8
 4487  17:36:37.02  -33:26:16.9  -1.403  0.044  14.920    60  0.463035  0.333  0.940  50.7
 4495  17:36:38.30  -33:08:58.9  -1.693  0.054  14.316    61  0.549343  0.157  0.914  51.9
 4497  17:36:38.69  -32:18:37.5  -1.490  0.053  15.233    56  0.576751  0.376  0.925  60.7
 4506  17:36:40.69  -29:22:10.5  -1.518  0.062  14.667    69  0.582850  0.286  0.931  51.9
 4510  17:36:41.42  -30:51:42.4  -1.249  0.057  15.355    62  0.560761  0.257  0.921  56.0
 4511  17:36:41.91  -36:20:26.8  -1.492  0.034  14.721    67  0.520128  0.246  0.922  65.2
 4523  17:36:43.55  -30:43:32.4  -1.161  0.094  15.441    91  0.481248  0.458  0.946  60.7
 4531  17:36:45.32  -30:08:29.7  -1.518  0.074  14.848    69  0.630432  0.241  0.949  55.7
 4536  17:36:45.71  -30:20:03.0  -1.304  0.033  14.848    68  0.611545  0.318  0.951  68.7
 4541  17:36:46.02  -33:06:06.6  -1.647  0.038  14.612    63  0.579924  0.259  0.932  62.9
 4558  17:36:47.87  -27:47:48.8  -1.152  0.058  14.887    65  0.573412  0.260  0.929  67.7
 4560  17:36:48.01  -27:52:38.5  -1.617  0.029  14.209    69  0.529891  0.296  0.944  126.3
 4564  17:36:48.29  -29:55:23.6  -1.518  0.033  14.937    69  0.691818  0.251  0.938  67.4
 4567  17:36:48.67  -28:54:47.2  -1.722  0.073  14.411    67  0.683945  0.282  0.943  63.1
 4570  17:36:49.32  -30:18:33.8  -1.886  0.080  15.121    68  0.700005  0.359  0.942  48.4
 4576  17:36:50.12  -33:13:24.0  -1.238  0.038  14.331    54  0.563211  0.250  0.923  60.1
 4577  17:36:50.18  -30:29:46.1  -1.161  0.091  15.028    60  0.451174  0.351  0.932  68.5
 4585  17:36:51.89  -27:28:29.1  -1.194  0.034  14.653    42  0.545936  0.212  0.903  48.4
 4589  17:36:52.19  -26:14:00.3  -0.725  0.093  15.281    66  0.449208  0.282  0.935  51.5
 4591  17:36:52.36  -35:11:50.4  -1.251  0.077  15.111    64  0.581867  0.156  0.871  56.2
 4594  17:36:53.32  -27:55:41.7  -1.300  0.046  15.196    68  0.458426  0.363  0.951  64.4
 4606  17:36:56.20  -31:35:13.3  -1.481  0.029  15.501    62  0.557592  0.272  0.937  57.6
 4610  17:36:56.67  -33:27:32.1  -1.430  0.052  15.004    65  0.609024  0.298  0.928  59.9
 4614  17:36:57.26  -30:29:10.8  -1.163  0.094  14.971    43  0.547006  0.260  0.856  45.7
 4631  17:37:01.38  -30:13:52.3  -1.598  0.080  14.011    69  0.605331  0.123  0.901  57.0
 4641  17:37:02.54  -35:17:42.3  -1.282  0.019  15.116    65  0.588482  0.311  0.921  62.0
 4642  17:37:02.71  -33:13:27.3  -1.463  0.080  14.610    49  0.475476  0.333  0.918  74.9
 4646  17:37:03.97  -30:42:31.4  -1.305  0.043  15.706   109  0.471031  0.365  0.949  51.3
 4651  17:37:05.90  -30:30:42.1  -1.684  0.043  14.526   130  0.706186  0.294  0.955  74.4
 4657  17:37:06.51  -30:10:38.0  -1.202  0.065  15.204    69  0.441299  0.304  0.925  73.9
 4663  17:37:07.34  -35:14:31.2  -1.433  0.039  15.133    66  0.484150  0.425  0.937  105.2
 4665  17:37:07.48  -26:50:52.3  -1.366  0.044  14.579    69  0.544654  0.336  0.918  117.4
 4667  17:37:08.08  -31:11:38.4  -1.398  0.042  15.538    59  0.550022  0.279  0.930  44.8
 4669  17:37:08.22  -34:13:27.6  -1.408  0.036  14.461    65  0.626132  0.163  0.949  46.5
 4672  17:37:08.70  -32:45:31.0  -2.209  0.103  14.873    53  0.841217  0.291  0.933  50.6
 4680  17:37:09.79  -30:22:57.8  -1.601  0.027  15.019    68  0.552609  0.364  0.950  87.6
 4681  17:37:09.87  -32:23:19.4  -1.383  0.030  15.260    59  0.531912  0.311  0.878  46.0
 4684  17:37:10.54  -27:52:12.7  -1.356  0.025  14.972    67  0.483670  0.412  0.912  110.8
 4685  17:37:10.56  -33:15:09.4  -1.234  0.036  15.329    63  0.534243  0.359  0.927  64.2
 4689  17:37:10.81  -31:09:38.7  -1.571  0.081  15.090    39  0.503427  0.338  0.882  64.5
 4694  17:37:11.63  -25:36:08.3  -1.875  0.025  14.481    62  0.646398  0.324  0.938  140.5
 4697  17:37:12.25  -25:50:32.5  -2.335  0.056  14.309    70  0.838070  0.250  0.948  132.9
 4710  17:37:13.89  -26:20:19.0  -1.400  0.068  15.039    49  0.559197  0.237  0.941  43.7
 4713  17:37:14.61  -32:10:36.0  -1.472  0.203  16.083    41  0.521897  0.396  0.911  46.9
 4718  17:37:15.29  -30:47:56.7  -1.320  0.100  15.479    60  0.546284  0.336  0.916  48.0
 4728  17:37:16.68  -26:46:50.4  -1.299  0.018  14.645    69  0.436117  0.355  0.937  127.2
 4730  17:37:16.88  -31:00:09.6  -1.363  0.048  15.659    59  0.554474  0.325  0.944  42.6
 4740  17:37:18.11  -28:00:52.2  -1.280  0.015  14.547    63  0.565880  0.293  0.934  101.9
 4741  17:37:18.15  -30:51:55.6  -1.476  0.039  15.447    44  0.545310  0.385  0.878  49.3
 4743  17:37:19.30  -28:56:45.5  -1.360  0.090  14.642    64  0.468425  0.254  0.930  67.8
 4755  17:37:21.80  -27:49:52.9  -1.263  0.043  14.436    69  0.620664  0.184  0.933  62.6
 4769  17:37:22.92  -30:57:43.7  -0.650  0.057  15.782    56  0.439615  0.311  0.941  43.9
 4771  17:37:23.10  -29:56:50.2  -1.571  0.041  14.844    69  0.560276  0.320  0.925  64.5
 4772  17:37:23.12  -30:17:29.9  -1.441  0.094  14.996    68  0.547634  0.371  0.910  63.2
 4773  17:37:23.31  -29:45:15.6  -1.297  0.105  14.648    43  0.492569  0.310  0.867  62.6
 4774  17:37:23.32  -31:10:23.9  -1.895  0.042  15.803    59  0.681611  0.364  0.935  57.6
 4777  17:37:24.22  -24:37:55.1  -1.227  0.038  14.669    58  0.565562  0.235  0.947  81.5
 4780  17:37:24.66  -33:50:17.5  -1.603  0.032  14.618    60  0.645701  0.335  0.946  103.3
 4796  17:37:26.81  -32:58:06.5  -0.680  0.060  14.626    63  0.529590  0.255  0.947  84.8
 4797  17:37:27.14  -27:58:21.1  -1.376  0.016  14.672    69  0.623838  0.217  0.944  56.1
 4800  17:37:27.91  -28:55:53.7  -1.408  0.053  14.685    59  0.533300  0.371  0.941  71.7
 4802  17:37:28.22  -32:18:03.7  -1.247  0.058  15.631    57  0.580207  0.273  0.928  36.6
 4812  17:37:29.38  -27:52:43.5  -0.971  0.049  14.635    69  0.488201  0.305  0.939  59.4
 4815  17:37:30.16  -33:31:36.4  -1.770  0.072  14.705    65  0.713648  0.367  0.935  71.5
 4817  17:37:30.58  -30:15:33.0  -1.497  0.043  15.233    68  0.521855  0.391  0.918  63.8
 4821  17:37:31.71  -27:50:03.1  -1.272  0.020  14.733    69  0.534934  0.338  0.900  81.7
 4836  17:37:34.40  -30:47:01.2  -1.444  0.035  15.764    53  0.591887  0.318  0.946  46.6
 4839  17:37:34.68  -33:11:14.5  -1.390  0.073  14.959    65  0.604619  0.256  0.893  55.0
 4843  17:37:35.13  -27:47:52.3  -2.121  0.023  14.274    69  0.671118  0.372  0.920  157.8
 4849  17:37:35.76  -32:36:44.0  -0.267  0.041  14.201    65  0.425222  0.200  0.940  65.1
