# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
  390  17:15:39.36  -35:58:30.7  -1.356  0.016  14.882    66  0.461428  0.343  0.948  95.2
  393  17:15:40.17  -34:43:49.9  -1.395  0.029  15.402    65  0.582047  0.292  0.930  53.1
  398  17:15:41.30  -34:05:40.9  -1.290  0.026  15.093    65  0.504908  0.296  0.936  64.4
  401  17:15:46.53  -33:15:12.3  -0.813  0.055  15.209    62  0.520409  0.283  0.954  91.6
  406  17:15:50.70  -35:48:47.0  -0.331  0.146  15.634    66  0.406113  0.193  0.926  38.3
  410  17:15:51.44  -36:23:19.0  -2.105  0.043  15.481    65  0.655773  0.325  0.954  60.2
  412  17:15:52.77  -34:23:46.7  -1.318  0.035  14.101    65  0.680138  0.159  0.936  71.6
  414  17:15:54.25  -36:03:48.8  -1.392  0.033  15.009    66  0.531790  0.310  0.938  86.9
  417  17:16:01.25  -36:48:23.2  -1.371  0.191  14.955    66  0.537396  0.185  0.948  44.1
  419  17:16:03.17  -33:06:37.1  -1.394  0.080  14.461    70  0.524542  0.177  0.898  72.6
  422  17:16:07.77  -36:23:59.9  -1.131  0.108  15.483    65  0.504391  0.342  0.931  68.1
  425  17:16:08.62  -35:43:15.5  -1.367  0.028  16.050    65  0.523587  0.306  0.917  46.8
  427  17:16:10.83  -35:51:25.0  -1.217  0.025  15.014    66  0.612402  0.190  0.932  69.5
  428  17:16:11.15  -33:06:47.2  -1.620  0.027  14.528    70  0.640830  0.306  0.938  133.5
  430  17:16:12.71  -36:41:43.5  -0.553  0.125  13.913    56  0.462519  0.210  0.922  61.3
  433  17:16:14.62  -35:27:09.4  -0.905  0.072  15.827    65  0.504777  0.288  0.947  43.9
  434  17:16:15.15  -34:33:40.7  -1.293  0.049  14.499    65  0.620841  0.174  0.936  76.6
  439  17:16:17.03  -33:09:30.7  -1.403  0.025  15.045    68  0.569718  0.361  0.946  91.2
  441  17:16:18.90  -34:45:57.2  -1.198  0.046  14.154    65  0.621852  0.133  0.939  76.7
  446  17:16:20.33  -33:11:54.6  -1.263  0.015  14.109   136  0.617066  0.171  0.959  105.4
  447  17:16:22.06  -36:05:34.9  -1.361  0.029  15.293    66  0.570065  0.339  0.944  77.6
  448  17:16:22.99  -31:26:41.0  -1.324  0.044  14.599    57  0.452510  0.339  0.933  125.8
  450  17:16:24.05  -33:34:25.9  -1.362  0.040  14.704    62  0.651948  0.169  0.876  58.4
  452  17:16:24.45  -36:18:32.6  -1.589  0.087  15.544    65  0.474140  0.264  0.935  56.8
  454  17:16:25.26  -36:36:56.9  -1.416  0.025  14.808    66  0.579411  0.298  0.937  71.9
  457  17:16:26.61  -36:05:14.0  -1.486  0.094  15.310    66  0.491187  0.214  0.932  51.8
  459  17:16:28.90  -36:12:58.8  -1.316  0.023  15.464    66  0.528764  0.366  0.939  80.1
  460  17:16:29.08  -36:12:35.2  -0.486  0.076  15.976    64  0.424782  0.386  0.926  59.7
