# id           Name   RA            DEC           period     meanmag_k totamp_k aper   snr     prob       crossid_gaia   crossid_ogle   remark  
  3410540734   351    17:15:12.10   -35:45:46.2   0.54092    15.532   0.341    2      61.1    0.999906   ""             ""             ""      
  3700971865   353    17:15:13.03   -33:07:12.1   0.575437   14.861   0.297    2      87.7    0.987396   ""             ""             ""      
  3410347759   356    17:15:17.67   -36:06:28.0   0.527508   15.259   0.218    2      52.3    0.999412   ""             ""             ""      
  3550939794   360    17:15:20.83   -34:58:10.6   0.483323   15.359   0.309    1      52.9    0.902003   ""             ""             ""      
  3410592761   361    17:15:20.86   -35:41:33.6   0.631254   14.026   0.136    2      74.6    0.613031   ""             ""             ""      
  3550644979   364    17:15:21.50   -35:29:03.0   0.617289   14.793   0.245    2      122.7   0.999999   ""             ""             ""      
  3410195621   366    17:15:24.09   -36:22:48.8   0.438528   15.66    0.289    1      45.9    0.879067   ""             ""             ""      
  3410330570   368    17:15:25.33   -36:09:15.9   0.392715   15.446   0.257    1      49.1    0.985171   ""             ""             ""      
  3410689660   373    17:15:27.50   -35:32:08.2   0.650712   15.098   0.201    2      61.4    0.862958   ""             ""             ""      
  3410502762   374    17:15:30.69   -35:52:35.5   0.538962   14.836   0.296    2      91.8    0.999855   ""             ""             ""      
  3410612087   376    17:15:33.27   -35:41:21.0   0.524265   15.244   0.235    1      75.1    0.831415   ""             ""             ""      
  3560476117   379    17:15:34.35   -34:06:19.7   0.528281   15.594   0.377    1      60.2    0.993606   ""             ""             ""      
  3550876601   385    17:15:37.37   -35:07:02.5   0.680919   14.227   0.258    3      115.8   0.99985    ""             ""             ""      
  3560602796   386    17:15:37.82   -33:54:15.3   0.598491   14.96    0.286    1      78.7    0.99408    ""             ""             ""      
  3560548494   388    17:15:38.08   -33:59:43.2   0.587988   14.547   0.241    2      119.8   0.987312   ""             ""             ""      
  3410458199   390    17:15:39.36   -35:58:30.7   0.461428   14.882   0.343    2      95.2    0.999999   ""             ""             ""      
  3560132520   393    17:15:40.17   -34:43:49.9   0.582047   15.402   0.292    2      53.1    0.998216   ""             ""             ""      
  3560493136   398    17:15:41.30   -34:05:40.9   0.504908   15.093   0.296    2      64.4    0.94498    ""             ""             ""      
  3700945038   401    17:15:46.53   -33:15:12.3   0.520409   15.209   0.283    2      91.6    0.988638   ""             ""             ""      
  3410565221   406    17:15:50.70   -35:48:47.0   0.406113   15.634   0.193    2      38.3    0.998792   ""             ""             ""      
  3410227734   410    17:15:51.44   -36:23:19.0   0.655773   15.481   0.325    2      60.2    0.990916   ""             ""             ""      
  3560332747   412    17:15:52.77   -34:23:46.7   0.680138   14.101   0.159    3      71.6    0.659641   ""             ""             ""      
  3410426408   414    17:15:54.25   -36:03:48.8   0.53179    15.009   0.31     1      86.9    0.999984   ""             ""             ""      
  3410008445   417    17:16:01.25   -36:48:23.2   0.537396   14.955   0.185    2      44.1    0.785034   ""             ""             ""      
  3710063111   419    17:16:03.17   -33:06:37.1   0.524542   14.461   0.177    3      72.6    0.99587    ""             ""             ""      
  3410243748   422    17:16:07.77   -36:23:59.9   0.504391   15.483   0.342    2      68.1    0.998084   ""             ""             ""      
  3410642457   425    17:16:08.62   -35:43:15.5   0.523587   16.05    0.306    2      46.8    0.999469   ""             ""             ""      
